datetime,open_lag_0,high_lag_0,low_lag_0,close_lag_0,open_lag_1,high_lag_1,low_lag_1,close_lag_1,open_lag_2,high_lag_2,low_lag_2,close_lag_2,open_lag_3,high_lag_3,low_lag_3,close_lag_3,open_lag_4,high_lag_4,low_lag_4,close_lag_4,open_lag_5,high_lag_5,low_lag_5,close_lag_5,open_lag_6,high_lag_6,low_lag_6,close_lag_6,open_lag_7,high_lag_7,low_lag_7,close_lag_7,open_lag_8,high_lag_8,low_lag_8,close_lag_8,open_lag_9,high_lag_9,low_lag_9,close_lag_9,open_lag_10,high_lag_10,low_lag_10,close_lag_10,open_lag_11,high_lag_11,low_lag_11,close_lag_11,open_lag_12,high_lag_12,low_lag_12,close_lag_12,target,uid
2024-11-19 17:00:00,92312.42,92439.05,92290.85,92424.57,92577.96,92668.0,92547.98,92657.88,93331.01,93697.59,92271.34,92577.97,93789.63,94105.84,93181.93,93331.02,92963.12,93989.0,92829.01,93788.37,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91838.16,92577.96_93697.59_93181.93_93788.37
2024-11-19 16:00:00,92577.96,92668.0,92547.98,92657.88,93331.01,93697.59,92271.34,92577.97,93789.63,94105.84,93181.93,93331.02,92963.12,93989.0,92829.01,93788.37,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,92424.57,93331.01_94105.84_92829.01_92963.32
2024-11-19 15:00:00,93331.01,93697.59,92271.34,92577.97,93789.63,94105.84,93181.93,93331.02,92963.12,93989.0,92829.01,93788.37,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92657.88,93789.63_93989.0_92442.92_92559.78
2024-11-19 14:00:00,93789.63,94105.84,93181.93,93331.02,92963.12,93989.0,92829.01,93788.37,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,92577.97,92963.12_93395.86_92492.76_91813.71
2024-11-19 13:00:00,92963.12,93989.0,92829.01,93788.37,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,93331.02,92663.79_92572.69_91798.36_91165.36
2024-11-19 12:00:00,92663.79,93395.86,92442.92,92963.32,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,93788.37,92492.76_91939.47_91150.02_92544.66
2024-11-19 11:00:00,92492.76,92572.69,92492.76,92559.78,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,92963.32,91905.26_91289.9_92445.49_91764.47
2024-11-19 10:00:00,91905.26,91939.47,91798.36,91813.71,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,91299.99,91592.37,91213.03,91471.93,92559.78,91202.44_92661.67_91709.49_91834.13
2024-11-19 09:00:00,91202.44,91289.9,91150.02,91165.36,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,91299.99,91592.37,91213.03,91471.93,90766.15,91333.78,90747.63,91299.99,91813.71,92535.71_91769.37_91809.15_91801.33
2024-11-19 08:00:00,92535.71,92661.67,92445.49,92544.66,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,91299.99,91592.37,91213.03,91471.93,90766.15,91333.78,90747.63,91299.99,91091.68,91309.87,90659.13,90762.73,91165.36,91709.49_91883.42_91736.9_91750.72
2024-11-19 07:00:00,91709.49,91769.37,91709.49,91764.47,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,91299.99,91592.37,91213.03,91471.93,90766.15,91333.78,90747.63,91299.99,91091.68,91309.87,90659.13,90762.73,90521.32,91267.39,90403.24,91083.57,92544.66,91809.15_91821.28_91234.32_91818.06
2024-11-19 06:00:00,91809.15,91883.42,91809.15,91834.13,91750.71,91821.28,91736.9,91801.33,91818.06,91996.44,91234.32,91750.72,91688.0,91830.22,91436.21,91818.06,92025.45,92091.99,91649.36,91677.0,91939.64,92055.99,91655.45,92025.45,91581.97,91978.19,91283.66,91940.75,91471.92,91868.87,91279.55,91589.0,91299.99,91592.37,91213.03,91471.93,90766.15,91333.78,90747.63,91299.99,91091.68,91309.87,90659.13,90762.73,90521.32,91267.39,90403.24,91083.57,91230.5,91278.71,91213.14,91214.21,91764.47,91750.71_91996.44_91436.21_91677.0
